feature_1,class
3.7776723,glioma
-34.121883,glioma
-37.84809,glioma
-35.577248,glioma
-20.749895,glioma
-21.713993,glioma
-28.965166,glioma
-12.966161,glioma
-6.880839,glioma
-13.802241,glioma
-1.136064,glioma
9.860315,glioma
-3.3888083,glioma
-10.708865,glioma
-12.524442,glioma
-2.6386247,glioma
-20.02115,glioma
-26.964165,glioma
-26.118893,glioma
-29.204998,glioma
-33.82956,glioma
-17.732862,glioma
-5.6661716,glioma
-4.8353066,glioma
3.7737098,glioma
-9.877282,glioma
-8.649175,glioma
-7.498296,glioma
-7.401227,glioma
-17.839666,glioma
-14.772834,glioma
-14.071355,glioma
-24.051395,glioma
-28.91845,glioma
-26.55245,glioma
-2.2248106,glioma
-3.3188887,glioma
-5.4970913,glioma
-4.509789,glioma
2.5484483,glioma
-14.325641,glioma
-16.797262,glioma
-24.103912,glioma
-14.552835,glioma
7.230764,glioma
1.350629,glioma
-28.303028,glioma
-23.25778,glioma
-9.883253,glioma
-4.8420935,glioma
1.7349111,glioma
7.34851,glioma
3.2535074,glioma
2.447479,glioma
10.394421,glioma
-28.934196,glioma
-27.519823,glioma
-17.44897,glioma
-32.83831,glioma
-26.997723,glioma
-14.207309,glioma
-2.1922624,glioma
-5.5199347,glioma
-11.046042,glioma
-20.902842,glioma
-17.485697,glioma
1.28149,glioma
6.200842,glioma
-7.9479003,glioma
-9.240192,glioma
-9.048019,glioma
-0.0017259577,glioma
-6.085659,glioma
-12.80764,glioma
-25.751873,glioma
-37.199707,glioma
1.2882957,glioma
10.314898,glioma
4.0580726,glioma
-10.24005,glioma
-12.83521,glioma
-8.644569,glioma
-12.912217,glioma
-43.731747,glioma
-0.06563259,glioma
3.4762943,glioma
1.9691347,glioma
-0.999801,glioma
23.942883,glioma
18.427252,glioma
-9.530515,glioma
-17.043459,glioma
4.5444593,glioma
5.8977203,glioma
-7.5434937,glioma
4.210594,glioma
-41.06588,glioma
14.9630575,glioma
22.15751,glioma
40.96224,glioma
22.719725,glioma
9.805312,glioma
27.595802,glioma
-16.041138,glioma
-23.24594,glioma
-21.462019,glioma
-23.351109,glioma
-27.178326,glioma
-27.146116,glioma
-26.100216,glioma
-2.378092,glioma
5.9802523,glioma
-18.153872,glioma
-5.277924,glioma
-7.851394,glioma
-17.582535,glioma
-6.1045012,glioma
-5.4952054,glioma
-11.623299,glioma
-32.962387,glioma
-18.617748,glioma
-14.546155,glioma
11.341021,glioma
3.2681181,glioma
1.8119019,glioma
-28.491484,glioma
-27.382196,glioma
-28.368109,glioma
-28.76234,glioma
-27.796003,glioma
-31.84304,glioma
-31.306564,glioma
-24.48494,glioma
-25.188105,glioma
-26.58033,glioma
-35.851624,glioma
-36.893112,glioma
-37.358288,glioma
-42.228416,glioma
-30.872732,glioma
-34.380276,glioma
-35.57456,glioma
-32.118233,glioma
-40.433006,glioma
